resolution_minutes,fold,model,c_value,term,standardized_coefficient
1,3,m1,10,joint_intensity,0.0326289823699
1,3,m1,10,magnitude_balance,-0.0653322564767
1,3,m1,10,absolute_magnitude_balance,-0.0133508610166
1,3,m1,10,intercept,0.668735354429
1,4,m0,10,coherence_15m,0.00808748457217
1,4,m0,10,coherence_30m,0.0269008035057
1,4,m0,10,coherence_60m,0.142073379383
1,4,m0,10,common_direction,-0.0228376025524
1,4,m0,10,intercept,0.650400575931
1,4,m1,10,coherence_15m,0.00679426073077
1,4,m1,10,coherence_30m,0.0251002551796
1,4,m1,10,coherence_60m,0.125494636987
1,4,m1,10,common_direction,-0.021896510985
1,4,m1,10,joint_intensity,0.0382369708726
1,4,m1,10,magnitude_balance,-0.0665576255247
1,4,m1,10,absolute_magnitude_balance,-0.0142999786522
1,4,m1,10,intercept,0.651336509306
1,5,m0,0.01,coherence_15m,0.00664753995041
1,5,m0,0.01,coherence_30m,0.0250028314962
1,5,m0,0.01,coherence_60m,0.140312721013
1,5,m0,0.01,common_direction,-0.0213912594235
1,5,m0,0.01,intercept,0.652241398864
1,5,m1,0.01,coherence_15m,0.00522536539907
1,5,m1,0.01,coherence_30m,0.0228469489511
1,5,m1,0.01,coherence_60m,0.125443164728
1,5,m1,0.01,common_direction,-0.0203584295761
1,5,m1,0.01,joint_intensity,0.0357934395484
1,5,m1,0.01,magnitude_balance,-0.0644704418769
1,5,m1,0.01,absolute_magnitude_balance,-0.0170492266962
1,5,m1,0.01,intercept,0.653156966031
1,6,m0,10,coherence_15m,0.00702668077259
1,6,m0,10,coherence_30m,0.0281952429981
1,6,m0,10,coherence_60m,0.136622565003
1,6,m0,10,common_direction,-0.0232375514846
1,6,m0,10,intercept,0.645145608292
1,6,m1,10,coherence_15m,0.0060716223816
1,6,m1,10,coherence_30m,0.0258871859935
1,6,m1,10,coherence_60m,0.122489782219
1,6,m1,10,common_direction,-0.0219466191203
1,6,m1,10,joint_intensity,0.033795107558
1,6,m1,10,magnitude_balance,-0.0622708411643
1,6,m1,10,absolute_magnitude_balance,-0.0189080320568
1,6,m1,10,intercept,0.645903279763
1,7,m0,0.01,coherence_15m,0.0075097503406
1,7,m0,0.01,coherence_30m,0.0340500293455
1,7,m0,0.01,coherence_60m,0.134667298338
1,7,m0,0.01,common_direction,-0.0254775111786
1,7,m0,0.01,intercept,0.659767933634
1,7,m1,0.01,coherence_15m,0.00618353927205
1,7,m1,0.01,coherence_30m,0.0324435866603
1,7,m1,0.01,coherence_60m,0.119360407483
1,7,m1,0.01,common_direction,-0.0246955096869
1,7,m1,0.01,joint_intensity,0.0372342487847
1,7,m1,0.01,magnitude_balance,-0.0605353511969
1,7,m1,0.01,absolute_magnitude_balance,-0.0170314105231
1,7,m1,0.01,intercept,0.660756208432
1,8,m0,0.01,coherence_15m,0.00977900360976
1,8,m0,0.01,coherence_30m,0.0336313044852
1,8,m0,0.01,coherence_60m,0.128499935187
1,8,m0,0.01,common_direction,-0.0237889953257
1,8,m0,0.01,intercept,0.651913476295
