trial_id,run_id,resolution_minutes,outer_fold,model,c_value,inner_fold_count,inner_event_count,inner_oof_brier,inner_fold_brier_json,selected
ea560d8d907ace12,fd436f33a3bfef1e,5,8,m0,0.1,3,3350,0.21855184691,"[0.23306348398790971, 0.19993585390966553, 0.22470479168571872]",False
dd5689a6ce1499ef,fd436f33a3bfef1e,5,8,m0,1,3,3350,0.218556430829,"[0.23307298444490185, 0.19993615943487125, 0.2247091845856777]",False
5510ea8a14b1c9d5,fd436f33a3bfef1e,5,8,m0,10,3,3350,0.218556895889,"[0.23307394817663, 0.1999361882224316, 0.22470963287846837]",False
1fdb1b081bf70dcb,fd436f33a3bfef1e,5,8,m1,0.01,3,3350,0.217309506725,"[0.23190213250983566, 0.19804171739844045, 0.22411138431236663]",True
ca29c09c380bef32,fd436f33a3bfef1e,5,8,m1,0.1,3,3350,0.217324419568,"[0.23196426992411032, 0.19800193172662892, 0.22413972167397464]",False
7371b53579e6d11b,fd436f33a3bfef1e,5,8,m1,1,3,3350,0.217326634626,"[0.23197158325526995, 0.19799830390061238, 0.22414331617701957]",False
1c124500938d8afd,fd436f33a3bfef1e,5,8,m1,10,3,3350,0.217326866025,"[0.23197232764214595, 0.19799794874867788, 0.22414368485057976]",False
b578a98b63941898,fd436f33a3bfef1e,5,9,m0,0.01,3,3356,0.218408630005,"[0.19993781040735503, 0.22466893068348154, 0.23257563987008376]",False
1e0a7e5775f1d622,fd436f33a3bfef1e,5,9,m0,0.1,3,3356,0.218404024623,"[0.19993585390966553, 0.22470479168571872, 0.23252847351523867]",False
8c34dc619a7cac92,fd436f33a3bfef1e,5,9,m0,1,3,3356,0.218403841154,"[0.19993615943487125, 0.2247091845856777, 0.23252326859922645]",False
9c8a613e41569990,fd436f33a3bfef1e,5,9,m0,10,3,3356,0.21840382264,"[0.1999361882224316, 0.22470963287846837, 0.23252274071022047]",True
9e09cf5104f9ad72,fd436f33a3bfef1e,5,9,m1,0.01,3,3356,0.217895251642,"[0.19804171739844045, 0.22411138431236663, 0.23362525561762637]",False
769c50a8d1b8bd01,fd436f33a3bfef1e,5,9,m1,0.1,3,3356,0.217890075679,"[0.19800193172662892, 0.22413972167397464, 0.23362528167094312]",False
f12f333ba86ca0c7,fd436f33a3bfef1e,5,9,m1,1,3,3356,0.217889799071,"[0.19799830390061238, 0.22414331617701957, 0.23362489535179712]",False
44777224722b11ad,fd436f33a3bfef1e,5,9,m1,10,3,3356,0.217889775645,"[0.19799794874867788, 0.22414368485057976, 0.23362485233344796]",True
2db125279d9b8680,fd436f33a3bfef1e,5,10,m0,0.01,3,3301,0.226363063701,"[0.22466893068348154, 0.23257563987008376, 0.22202152917684867]",True
a8969efee658677f,fd436f33a3bfef1e,5,10,m0,0.1,3,3301,0.226386193948,"[0.22470479168571872, 0.23252847351523867, 0.22209980102433807]",False
29ce5c748a081df5,fd436f33a3bfef1e,5,10,m0,1,3,3301,0.226388893143,"[0.2247091845856777, 0.23252326859922645, 0.222108455252065]",False
977630f1f4754f56,fd436f33a3bfef1e,5,10,m0,10,3,3301,0.226389167009,"[0.22470963287846837, 0.23252274071022047, 0.22210933071735417]",False
5aa38dfe5a904853,fd436f33a3bfef1e,5,10,m1,0.01,3,3301,0.226494097194,"[0.22411138431236663, 0.23362525561762637, 0.2219199718003815]",True
b812a5db811e1e93,fd436f33a3bfef1e,5,10,m1,0.1,3,3301,0.226533059668,"[0.22413972167397464, 0.23362528167094312, 0.22200599317046366]",False
17c2fac352f1b7ea,fd436f33a3bfef1e,5,10,m1,1,3,3301,0.226537460217,"[0.22414331617701957, 0.23362489535179712, 0.22201571178036464]",False
aea202ecf2423e07,fd436f33a3bfef1e,5,10,m1,10,3,3301,0.226537906197,"[0.22414368485057976, 0.23362485233344796, 0.22201669631921986]",False
d098b6ed7e9815f6,fd436f33a3bfef1e,5,11,m0,0.01,3,3440,0.218797101765,"[0.23257563987008376, 0.22202152917684867, 0.2033007247416799]",True
d2d2955f67b0aab8,fd436f33a3bfef1e,5,11,m0,0.1,3,3440,0.218817632679,"[0.23252847351523867, 0.22209980102433807, 0.2033277114434775]",False
d9f0be2b4d00c538,fd436f33a3bfef1e,5,11,m0,1,3,3440,0.218819938514,"[0.23252326859922645, 0.222108455252065, 0.20333078820509576]",False
7ac26381b5c3ef10,fd436f33a3bfef1e,5,11,m0,10,3,3440,0.218820171153,"[0.23252274071022047, 0.22210933071735417, 0.20333109890909773]",False
2053385f80ab147f,fd436f33a3bfef1e,5,11,m1,0.01,3,3440,0.21895958823,"[0.23362525561762637, 0.2219199718003815, 0.2029121185747126]",True
ed4156ec646df074,fd436f33a3bfef1e,5,11,m1,0.1,3,3440,0.218997564786,"[0.23362528167094312, 0.22200599317046366, 0.20293886963301122]",False
c848f696f1017866,fd436f33a3bfef1e,5,11,m1,1,3,3440,0.219001732086,"[0.23362489535179712, 0.22201571178036464, 0.20294189219294886]",False
8b38d8b2f2b75fd2,fd436f33a3bfef1e,5,11,m1,10,3,3440,0.219002152985,"[0.23362485233344796, 0.22201669631921986, 0.20294219828664523]",False
2399e4f27c5d04f9,fd436f33a3bfef1e,1,0,m0,0.01,3,15899,0.23187552958,"[0.23360242726041297, 0.23260141723684938, 0.22952609934790705]",True
cfcf395ab298266e,fd436f33a3bfef1e,1,0,m0,0.1,3,15899,0.231875667778,"[0.2336122481674254, 0.23259630168559778, 0.22952170329851895]",False
0d1f2f4b305dd18a,fd436f33a3bfef1e,1,0,m0,1,3,15899,0.231875692356,"[0.23361328716838914, 0.23259579217578008, 0.2295212377102223]",False
f4c77a5e43dcc34d,fd436f33a3bfef1e,1,0,m0,10,3,15899,0.231875695245,"[0.2336133926228263, 0.23259574125330668, 0.2295211908652239]",False
0ffae8fd8bae9e96,fd436f33a3bfef1e,1,0,m1,0.01,3,15899,0.231649393422,"[0.23354196244475375, 0.2323831045167953, 0.22913184376519719]",False
dc6dfc27fb633ea2,fd436f33a3bfef1e,1,0,m1,0.1,3,15899,0.231648824079,"[0.2335553072594835, 0.2323784684790206, 0.22912153147547135]",True
3706101066a79212,fd436f33a3bfef1e,1,0,m1,1,3,15899,0.231649133334,"[0.23355736694178317, 0.23237802251294, 0.22912084077802364]",False
ea6f5677cf84913c,fd436f33a3bfef1e,1,0,m1,10,3,15899,0.23164914516,"[0.2335575159182138, 0.23237797810718336, 0.22912077153017615]",False
