trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
6667603283e5ff1a,0879361214fdad9f,5,12,cross_market,1000,3,6642,20.9196374805,"[16.954054653004086, 33.1389668356497, 12.322285065186305]",True
6473948fef2698eb,0879361214fdad9f,5,13,nq_only,0.01,3,6671,22.1965036972,"[33.15313017122129, 12.381915769740518, 20.79504172491157]",False
501cd633b63218a6,0879361214fdad9f,5,13,nq_only,0.1,3,6671,22.1965034935,"[33.153129780233954, 12.381915452307469, 20.795041827024733]",False
201e3463058fc20e,0879361214fdad9f,5,13,nq_only,1,3,6671,22.1965014573,"[33.15312587108256, 12.381912278505686, 20.79504284819141]",False
3cd70e16fbdcac30,0879361214fdad9f,5,13,nq_only,10,3,6671,22.196481138,"[33.15308685161181, 12.381880593270639, 20.79505306334256]",False
0b977218da80b03d,0879361214fdad9f,5,13,nq_only,100,3,6671,22.1962821587,"[33.15270370674017, 12.381568932510332, 20.795155543339877]",False
001b38c46dc9b6cf,0879361214fdad9f,5,13,nq_only,1000,3,6671,22.1946401935,"[33.14944886696025, 12.378897020078313, 20.79619683302653]",True
29616a3941d21a4b,0879361214fdad9f,5,13,cross_market,0.01,3,6671,22.1776672058,"[33.15364062220751, 12.323142146037563, 20.796357844797573]",False
555add394662e599,0879361214fdad9f,5,13,cross_market,0.1,3,6671,22.1776671769,"[33.15363836813779, 12.32314185063502, 20.79636036252767]",False
ad9b141db6dcc168,0879361214fdad9f,5,13,cross_market,1,3,6671,22.1776668932,"[33.15361584753914, 12.323138902288953, 20.796385527345457]",False
339f453644c7a16f,0879361214fdad9f,5,13,cross_market,10,3,6671,22.1776645034,"[33.15339262877269, 12.323109978942464, 20.79663593207564]",True
8b4a20a4095c8328,0879361214fdad9f,5,13,cross_market,100,3,6671,22.1776776774,"[33.15133871009172, 12.32286975527685, 20.799020448841492]",False
07dcb1e9c61a485b,0879361214fdad9f,5,13,cross_market,1000,3,6671,22.1784665443,"[33.1389668356497, 12.322285065186305, 20.814667163814896]",False
b668246d325442fb,0879361214fdad9f,5,14,nq_only,0.01,3,6748,22.4560722879,"[12.381915769740518, 20.79504172491157, 33.54178967961931]",False
56f1e1b8067aeeab,0879361214fdad9f,5,14,nq_only,0.1,3,6748,22.456071991,"[12.381915452307469, 20.795041827024733, 33.54178902553122]",False
687b03e917d1e9ff,0879361214fdad9f,5,14,nq_only,1,3,6748,22.4560690228,"[12.381912278505686, 20.79504284819141, 33.5417824857194]",False
