resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,6,cross_market,0.01,session_sin_2,-0.0157364958633
5,6,cross_market,0.01,session_cos_2,0.0318852646594
5,6,cross_market,0.01,weekday_tuesday,0.0689231112573
5,6,cross_market,0.01,weekday_wednesday,0.00475418479542
5,6,cross_market,0.01,weekday_thursday,0.0121387974245
5,6,cross_market,0.01,weekday_friday,-0.0305963419873
5,6,cross_market,0.01,btc_magnitude,-0.253312910892
5,6,cross_market,0.01,btc_aligned_momentum_5m,-0.0234539373734
5,6,cross_market,0.01,btc_aligned_momentum_15m,-0.0198340037615
5,6,cross_market,0.01,btc_aligned_momentum_30m,-0.0883491456322
5,6,cross_market,0.01,btc_aligned_momentum_60m,0.126717686097
5,6,cross_market,0.01,coherence_15m,0.0161041974977
5,6,cross_market,0.01,coherence_30m,-0.0621568967498
5,6,cross_market,0.01,coherence_60m,0.0430305480595
5,6,cross_market,0.01,joint_intensity,0.884609589171
5,6,cross_market,0.01,magnitude_balance,-0.11128368588
5,6,cross_market,0.01,absolute_magnitude_balance,0.0877137630653
5,6,cross_market,0.01,intercept,0.0324232213635
5,7,nq_only,1000,nq_direction,0.00316350893869
5,7,nq_only,1000,nq_magnitude,0.0204025719498
5,7,nq_only,1000,nq_aligned_momentum_5m,-0.125739464331
5,7,nq_only,1000,nq_aligned_momentum_15m,-0.102947201472
5,7,nq_only,1000,nq_aligned_momentum_30m,0.290949450555
5,7,nq_only,1000,nq_aligned_momentum_60m,-0.13338620168
5,7,nq_only,1000,session_sin_1,-0.0292883194832
5,7,nq_only,1000,session_cos_1,0.0331554981378
5,7,nq_only,1000,session_sin_2,-0.00495276528538
5,7,nq_only,1000,session_cos_2,0.0383106877566
5,7,nq_only,1000,weekday_tuesday,0.0581996447389
5,7,nq_only,1000,weekday_wednesday,-0.0112866286225
5,7,nq_only,1000,weekday_thursday,0.00380202848321
5,7,nq_only,1000,weekday_friday,-0.0330881349655
5,7,nq_only,1000,intercept,0.0346239920841
5,7,cross_market,1000,nq_direction,3.66796937837e-05
5,7,cross_market,1000,nq_magnitude,-0.292092666054
5,7,cross_market,1000,nq_aligned_momentum_5m,-0.235570969323
5,7,cross_market,1000,nq_aligned_momentum_15m,-0.100377114813
5,7,cross_market,1000,nq_aligned_momentum_30m,0.30944290627
5,7,cross_market,1000,nq_aligned_momentum_60m,-0.160064119613
5,7,cross_market,1000,session_sin_1,-0.0285986562076
5,7,cross_market,1000,session_cos_1,0.0339500633726
5,7,cross_market,1000,session_sin_2,-0.0111063907568
5,7,cross_market,1000,session_cos_2,0.0361768603387
5,7,cross_market,1000,weekday_tuesday,0.0635586209164
5,7,cross_market,1000,weekday_wednesday,-0.000425538631426
5,7,cross_market,1000,weekday_thursday,0.0141398933555
5,7,cross_market,1000,weekday_friday,-0.0255240232145
5,7,cross_market,1000,btc_magnitude,-0.050645206289
5,7,cross_market,1000,btc_aligned_momentum_5m,-0.0218473136271
5,7,cross_market,1000,btc_aligned_momentum_15m,-0.0209399993066
5,7,cross_market,1000,btc_aligned_momentum_30m,-0.0675736545815
5,7,cross_market,1000,btc_aligned_momentum_60m,0.101451474751
5,7,cross_market,1000,coherence_15m,0.0134599189746
5,7,cross_market,1000,coherence_30m,-0.0639140009471
5,7,cross_market,1000,coherence_60m,0.0400161117009
5,7,cross_market,1000,joint_intensity,0.488777030413
5,7,cross_market,1000,magnitude_balance,-0.113575357148
5,7,cross_market,1000,absolute_magnitude_balance,0.0153651197374
5,7,cross_market,1000,intercept,0.0346239920841
5,8,nq_only,1000,nq_direction,-0.00147725100826
5,8,nq_only,1000,nq_magnitude,0.0218132408092
5,8,nq_only,1000,nq_aligned_momentum_5m,-0.119729736603
