resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,3,nq_only,0.01,nq_aligned_momentum_60m,1.37385258986
5,3,nq_only,0.01,session_sin_1,-0.0105058053839
5,3,nq_only,0.01,session_cos_1,-0.0431975997686
5,3,nq_only,0.01,session_sin_2,0.0377313623395
5,3,nq_only,0.01,session_cos_2,0.0837589047432
5,3,nq_only,0.01,weekday_tuesday,0.178925970585
5,3,nq_only,0.01,weekday_wednesday,0.340616136954
5,3,nq_only,0.01,weekday_thursday,-0.0242282686733
5,3,nq_only,0.01,weekday_friday,-0.285394603491
5,3,nq_only,0.01,intercept,-0.285949488313
5,3,cross_market,100,nq_direction,0.0614540974396
5,3,cross_market,100,nq_magnitude,3.16217306231
5,3,cross_market,100,nq_aligned_momentum_5m,-1.42769967854
5,3,cross_market,100,nq_aligned_momentum_15m,1.28093513026
5,3,cross_market,100,nq_aligned_momentum_30m,-1.80607110863
5,3,cross_market,100,nq_aligned_momentum_60m,1.46673999754
5,3,cross_market,100,session_sin_1,-0.0794101590373
5,3,cross_market,100,session_cos_1,-0.0625820026521
5,3,cross_market,100,session_sin_2,0.00940321690533
5,3,cross_market,100,session_cos_2,0.0896422501248
5,3,cross_market,100,weekday_tuesday,0.166712755576
5,3,cross_market,100,weekday_wednesday,0.342507939439
5,3,cross_market,100,weekday_thursday,-0.0351618790462
5,3,cross_market,100,weekday_friday,-0.287572420024
5,3,cross_market,100,btc_magnitude,0.904361776346
5,3,cross_market,100,btc_aligned_momentum_5m,0.118907839701
5,3,cross_market,100,btc_aligned_momentum_15m,-0.159950392286
5,3,cross_market,100,btc_aligned_momentum_30m,0.386254272969
5,3,cross_market,100,btc_aligned_momentum_60m,-0.306119927138
5,3,cross_market,100,coherence_15m,0.100316345312
5,3,cross_market,100,coherence_30m,-0.127120986891
5,3,cross_market,100,coherence_60m,0.0274892622179
5,3,cross_market,100,joint_intensity,-2.9408659395
5,3,cross_market,100,magnitude_balance,0.211720120137
5,3,cross_market,100,absolute_magnitude_balance,-0.53010477378
5,3,cross_market,100,intercept,-0.285949488313
5,4,nq_only,0.01,nq_direction,0.0667312323056
5,4,nq_only,0.01,nq_magnitude,1.37267069944
5,4,nq_only,0.01,nq_aligned_momentum_5m,-1.80011119264
5,4,nq_only,0.01,nq_aligned_momentum_15m,1.17438072677
5,4,nq_only,0.01,nq_aligned_momentum_30m,-1.60433627457
5,4,nq_only,0.01,nq_aligned_momentum_60m,1.29553362336
5,4,nq_only,0.01,session_sin_1,-0.0542136767996
5,4,nq_only,0.01,session_cos_1,-0.0974871948927
5,4,nq_only,0.01,session_sin_2,0.00426970956016
5,4,nq_only,0.01,session_cos_2,0.0617764376129
5,4,nq_only,0.01,weekday_tuesday,0.117416398303
5,4,nq_only,0.01,weekday_wednesday,0.239905609336
5,4,nq_only,0.01,weekday_thursday,-0.0308638820834
5,4,nq_only,0.01,weekday_friday,-0.272751601719
5,4,nq_only,0.01,intercept,-0.260855669284
5,4,cross_market,100,nq_direction,0.0622875743211
5,4,cross_market,100,nq_magnitude,3.10194923926
5,4,cross_market,100,nq_aligned_momentum_5m,-1.35965385307
5,4,cross_market,100,nq_aligned_momentum_15m,1.20776743244
5,4,cross_market,100,nq_aligned_momentum_30m,-1.72233311949
5,4,cross_market,100,nq_aligned_momentum_60m,1.39245476242
5,4,cross_market,100,session_sin_1,-0.101801661091
5,4,cross_market,100,session_cos_1,-0.11290560123
5,4,cross_market,100,session_sin_2,-0.0151150300172
5,4,cross_market,100,session_cos_2,0.0655011709446
5,4,cross_market,100,weekday_tuesday,0.106276152623
5,4,cross_market,100,weekday_wednesday,0.24152366116
5,4,cross_market,100,weekday_thursday,-0.0439847093757
5,4,cross_market,100,weekday_friday,-0.273561208907
5,4,cross_market,100,btc_magnitude,1.05596298172
5,4,cross_market,100,btc_aligned_momentum_5m,0.043891684319
5,4,cross_market,100,btc_aligned_momentum_15m,-0.190114031657
5,4,cross_market,100,btc_aligned_momentum_30m,0.404151578303
5,4,cross_market,100,btc_aligned_momentum_60m,-0.296725263853
5,4,cross_market,100,coherence_15m,0.0909192369224
5,4,cross_market,100,coherence_30m,-0.105752502737
5,4,cross_market,100,coherence_60m,0.0591694482201
5,4,cross_market,100,joint_intensity,-2.96568948607
5,4,cross_market,100,magnitude_balance,0.178379594127
5,4,cross_market,100,absolute_magnitude_balance,-0.545980047504
5,4,cross_market,100,intercept,-0.260855669284
5,5,nq_only,1000,nq_direction,0.0467301806644
5,5,nq_only,1000,nq_magnitude,0.325247857695
5,5,nq_only,1000,nq_aligned_momentum_5m,-0.634829795933
5,5,nq_only,1000,nq_aligned_momentum_15m,0.802197675282
5,5,nq_only,1000,nq_aligned_momentum_30m,-1.01471969009
5,5,nq_only,1000,nq_aligned_momentum_60m,0.912289829366
5,5,nq_only,1000,session_sin_1,-0.159336341409
5,5,nq_only,1000,session_cos_1,-0.10274290942
5,5,nq_only,1000,session_sin_2,-0.0370461041035
5,5,nq_only,1000,session_cos_2,0.098292837665
5,5,nq_only,1000,weekday_tuesday,0.125827017257
5,5,nq_only,1000,weekday_wednesday,0.251617502292
5,5,nq_only,1000,weekday_thursday,-0.048733515772
5,5,nq_only,1000,weekday_friday,-0.231313703914
5,5,nq_only,1000,intercept,-0.224354243158
5,5,cross_market,1000,nq_direction,0.046189647285
5,5,cross_market,1000,nq_magnitude,0.718852018727
5,5,cross_market,1000,nq_aligned_momentum_5m,-0.444705379647
5,5,cross_market,1000,nq_aligned_momentum_15m,0.786136962663
5,5,cross_market,1000,nq_aligned_momentum_30m,-1.02029269664
5,5,cross_market,1000,nq_aligned_momentum_60m,0.931321185134
5,5,cross_market,1000,session_sin_1,-0.166239583771
5,5,cross_market,1000,session_cos_1,-0.106680925394
5,5,cross_market,1000,session_sin_2,-0.037805974667
5,5,cross_market,1000,session_cos_2,0.0976263008883
5,5,cross_market,1000,weekday_tuesday,0.123039315492
5,5,cross_market,1000,weekday_wednesday,0.256037179969
5,5,cross_market,1000,weekday_thursday,-0.0545689707453
5,5,cross_market,1000,weekday_friday,-0.231329778637
5,5,cross_market,1000,btc_magnitude,0.0677457375422
5,5,cross_market,1000,btc_aligned_momentum_5m,-0.131765419691
5,5,cross_market,1000,btc_aligned_momentum_15m,0.0412337913349
5,5,cross_market,1000,btc_aligned_momentum_30m,0.04140528824
5,5,cross_market,1000,btc_aligned_momentum_60m,-0.0545092690026
5,5,cross_market,1000,coherence_15m,0.0542774469478
5,5,cross_market,1000,coherence_30m,-0.0684838863668
5,5,cross_market,1000,coherence_60m,0.0314610625926
5,5,cross_market,1000,joint_intensity,-0.580376928655
5,5,cross_market,1000,magnitude_balance,0.209192681816
5,5,cross_market,1000,absolute_magnitude_balance,-0.143383763049
5,5,cross_market,1000,intercept,-0.224354243158
5,6,nq_only,1000,nq_direction,0.0182000522757
5,6,nq_only,1000,nq_magnitude,0.388515114227
5,6,nq_only,1000,nq_aligned_momentum_5m,-0.667509048234
5,6,nq_only,1000,nq_aligned_momentum_15m,0.78408145257
5,6,nq_only,1000,nq_aligned_momentum_30m,-0.948130956084
5,6,nq_only,1000,nq_aligned_momentum_60m,0.887835826566
5,6,nq_only,1000,session_sin_1,-0.133367313167
5,6,nq_only,1000,session_cos_1,-0.093323267519
5,6,nq_only,1000,session_sin_2,-0.0326543876223
5,6,nq_only,1000,session_cos_2,0.0951189594654
5,6,nq_only,1000,weekday_tuesday,0.124738841641
5,6,nq_only,1000,weekday_wednesday,0.226882295443
5,6,nq_only,1000,weekday_thursday,0.00341874282191
5,6,nq_only,1000,weekday_friday,-0.176760914565
5,6,nq_only,1000,intercept,-0.179634590119
5,6,cross_market,1000,nq_direction,0.0191521780967
5,6,cross_market,1000,nq_magnitude,0.709039488661
5,6,cross_market,1000,nq_aligned_momentum_5m,-0.497717903571
5,6,cross_market,1000,nq_aligned_momentum_15m,0.770416360473
5,6,cross_market,1000,nq_aligned_momentum_30m,-0.945617805572
5,6,cross_market,1000,nq_aligned_momentum_60m,0.899763775807
5,6,cross_market,1000,session_sin_1,-0.117634722228
5,6,cross_market,1000,session_cos_1,-0.0942187851538
5,6,cross_market,1000,session_sin_2,-0.0251037972658
5,6,cross_market,1000,session_cos_2,0.0920712119292
