trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
18a118cbd55977a1,a33442697ca39f89,5,4,nq_only,1,3,2843,276.527395433,"[651.9603778665379, 67.11308552275014, 38.095675947651856]",False
ba818440c1e8a72f,a33442697ca39f89,5,4,nq_only,10,3,2843,276.529453719,"[651.9891109354036, 67.09585399540228, 38.08544846020981]",False
eeb0b426272cb845,a33442697ca39f89,5,4,nq_only,100,3,2843,276.56786031,"[652.2761717574363, 66.96356516436725, 37.999707614933556]",False
486d2049f1a6a523,a33442697ca39f89,5,4,nq_only,1000,3,2843,276.994105613,"[654.0695722441222, 66.56221939147362, 37.62629222908282]",False
766c82e3a10dfae2,a33442697ca39f89,5,4,cross_market,0.01,3,2843,277.162818797,"[652.8362726025265, 68.07159811847984, 38.095843519306044]",False
c51aa9506dbe5697,a33442697ca39f89,5,4,cross_market,0.1,3,2843,277.162585656,"[652.837270385884, 68.07006752921302, 38.09547329995763]",False
3b9471bfa31a02d8,a33442697ca39f89,5,4,cross_market,1,3,2843,277.1602888,"[652.8471095908511, 68.05496460657933, 38.09183987136788]",False
281fad5a087b5fb6,a33442697ca39f89,5,4,cross_market,10,3,2843,277.140371204,"[652.933369608951, 67.92185380738938, 38.06144630231179]",False
9edf8546fcf0fdc4,a33442697ca39f89,5,4,cross_market,100,3,2843,277.070390627,"[653.3140169832684, 67.35082138899892, 37.9687969575617]",True
7c9675bc40bd2abe,a33442697ca39f89,5,4,cross_market,1000,3,2843,277.26002567,"[654.4980353196967, 66.76460489258768, 37.76035066927332]",False
0439c6342bbfd195,a33442697ca39f89,5,5,nq_only,0.01,3,2733,47.7448239156,"[67.11504080876915, 38.09682427610963, 37.903674841254]",False
ccf6a6dfda88d4da,a33442697ca39f89,5,5,nq_only,0.1,3,2733,47.744708709,"[67.1148625488577, 38.09671968660011, 37.90361062154169]",False
aac471c82aa26719,a33442697ca39f89,5,5,nq_only,1,3,2733,47.7435598436,"[67.11308552275014, 38.095675947651856, 37.90297029707777]",False
9ca31785e1e721fc,a33442697ca39f89,5,5,nq_only,10,3,2733,47.7323815365,"[67.09585399540228, 38.08544846020981, 37.89674923074716]",False
06b7b99e793016ce,a33442697ca39f89,5,5,nq_only,100,3,2733,47.6441901454,"[66.96356516436725, 37.999707614933556, 37.84875188213231]",False
0504a353b8c2d795,a33442697ca39f89,5,5,nq_only,1000,3,2733,47.3517360833,"[66.56221939147362, 37.62629222908282, 37.73487761287812]",True
5df8d0eb374a4ef5,a33442697ca39f89,5,5,cross_market,0.01,3,2733,48.1790368188,"[68.07159811847984, 38.095843519306044, 38.23207046897835]",False
a4d96390192d4e2e,a33442697ca39f89,5,5,cross_market,0.1,3,2733,48.1781872663,"[68.07006752921302, 38.09547329995763, 38.23143917815961]",False
4381354901a6e071,a33442697ca39f89,5,5,cross_market,1,3,2733,48.1698072341,"[68.05496460657933, 38.09183987136788, 38.2252001968302]",False
793a577c1c1c4fd1,a33442697ca39f89,5,5,cross_market,10,3,2733,48.0962013893,"[67.92185380738938, 38.06144630231179, 38.16945133456014]",False
d3cf092dbd100b5f,a33442697ca39f89,5,5,cross_market,100,3,2733,47.7879105967,"[67.35082138899892, 37.9687969575617, 37.91736185859587]",False
1cb92d0c946fee4e,a33442697ca39f89,5,5,cross_market,1000,3,2733,47.4453848411,"[66.76460489258768, 37.76035066927332, 37.68706547181244]",True
0958deb8942f18c4,a33442697ca39f89,5,6,nq_only,0.01,3,2718,43.5479057948,"[38.09682427610963, 37.903674841254, 54.7631850319365]",False
